Rating Agency Name,Name,Rating,Rating Outlook,date_x,Clean_Name,Symbol,Sector,industry,month_rating,year_change,year,Year,date_y,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
Standard & Poor's Ratings Services,Hovnanian Enterprises Inc.,CCC,Stable,11/5/2012,hovnanian enterprises,HOV,Capital Goods,Homebuilding,11,0,2012,2012,10/31/2012,7.769648091,0.882865941,0.882865941,0,313.5326946,313.5326946,43.61833026,-43.61833026,-0.670450055,-0.04456651,-0.068164268,-0.04456651,0.346189554,-0.039303548,0.136327035,-0.073647389,0.653810446,1,-0.068164268,1.288303399,-4.468568192,1.452467079,1.449913506,-0.661812192,-0.042814656,-3.468568192,,8.36804155,1.164152914,30.61068749,0.881907674,-0.530257222,-0.570296795,2.162500989,0,-0.045105776,1.075509717,-0.042814656,-10.99950747,-13.24332872,,,-33.95700973,-33.95700973,11.10084606,-249.0849283,-228.8282193,-246.1069733,-246.1069733,-6962.805463,11.10084606,,-338.4270623,-33.95700973
Standard & Poor's Ratings Services,Hovnanian Enterprises Inc.,B,Stable,6/15/2015,hovnanian enterprises,HOV,Capital Goods,Homebuilding,6,1,2015,2014,10/31/2014,-3.266835264,-0.27934565,-0.27934565,0,305.7603706,305.7603706,40.48678143,-40.48678143,-0.620425709,0.00978007,0.00978007,0.148854792,-14.22021804,0.134128117,-2.607356599,0.006252574,15.22021804,1,0.00978007,1.051442184,-20.43929915,1.075877657,1.489052277,0.142892547,-0.531364398,-19.43929915,,9.015288129,1.193745283,44.14213589,0.901066845,-1.302958208,-1.326359976,1.790498458,0,-0.092365439,1.01796049,-0.531364398,0.145305707,-55.67776804,,,-133.4827333,-133.4827333,7.620570375,51.19465951,-81.04888716,-82.50456489,-82.50456489,1656.702221,7.620570375,,466.4594599,-133.4827333
Standard & Poor's Ratings Services,Hovnanian Enterprises Inc.,CCC,Negative,7/29/2016,hovnanian enterprises,HOV,Capital Goods,Homebuilding,7,0,2016,2016,10/31/2016,7.442710192,0.819440276,0.819440276,0,218.6380149,218.6380149,28.80248102,-28.80248102,-0.700083241,0.000885095,0.000885095,-0.001024254,2.157224959,-0.001184733,0.021936036,0.001245229,-1.157224959,1,0.000885095,1.054008506,-19.5156019,-0.679649719,-4.243166055,0.013341001,3.727548077,-18.5156019,,12.67251942,1.669426061,54.6818525,1.156678462,2.629110688,2.574807902,2.351730405,0,0.140854,0.979345569,3.727548077,7.455096154,48.41576121,,,-56.50892343,-56.50892343,2.638557422,-2576.077244,19.12764053,18.73257,18.73257,-84036.54108,2.638557422,,372.7468934,-56.50892343
Standard & Poor's Ratings Services,Hovnanian Enterprises Inc.,B,Stable,5/7/2014,hovnanian enterprises,HOV,Capital Goods,Homebuilding,5,1,2014,2013,10/31/2013,4.197953327,0.516538606,0.516538606,0,286.0808438,286.0808438,37.52576321,-37.52576321,-0.617019932,0.011848732,0.011848732,0.016904767,-0.426715295,0.017790044,-0.072237123,0.019553344,1.426715295,1,0.011848732,1.246272874,-5.060536533,1.389952573,1.301430596,0.152249207,0.004954934,-4.060536533,,9.72665094,1.275863127,40.06087295,1.0523685,0.063878914,0.053140529,2.269011007,0,0.005006339,0.831894691,0.004954934,0.028406618,5.948652118,,,-42.95081032,-42.95081032,10.05125056,594.5808516,2413.41216,2007.704764,2007.704764,19085.38761,10.05125056,,584.1885402,-42.95081032
Standard & Poor's Ratings Services,Vector Ltd.,BBB,Stable,12/18/2013,vector,VGR,Consumer Non-Durables,Farming/Seeds/Milling,12,0,2013,2013,12/31/2013,1.45260182,1.034947717,0.578921248,4.201888847,45.67275083,49.87463967,13.0400061,-8.838117256,0.292571483,0.106074607,0.060108881,0.036633213,0.390552397,0.030704062,-0.40712993,0.074240429,0.609447603,1,0.060108881,1.07541588,-14.25980681,1.213214278,1.159107461,0.4804271,0.075144834,-13.25980681,86.86569619,27.99078445,7.991636006,13.32609957,0.838148202,0.568548669,0.42347729,4.447762818,3.740075468,0.049257716,0.744839119,0.075144834,0.343231493,3.919096045,0.32930766,3.740075468,-13.65340181,-13.65340181,1.228521771,33.53573592,33.48467637,24.94069684,24.94069684,52.81376453,1.228521771,0.111525075,14.08104546,-13.65340181
Standard & Poor's Ratings Services,Vector Ltd.,BBB,Stable,12/9/2014,vector,VGR,Consumer Non-Durables,Farming/Seeds/Milling,12,0,2014,2014,12/31/2014,3.176089894,2.575893667,1.208334105,5.35074451,30.05113212,35.40187663,0,5.35074451,0.310595325,0.134095387,0.051835746,0.023237385,0.403105944,0.02350209,-0.648429691,0.063291023,0.448288821,1,0.051835746,1.036244623,-28.59029933,1.070956993,1.066595121,0.512370257,0.117562689,-27.59029933,68.21480624,,12.14596504,18.91900086,1.011391313,1.043205026,0.815824881,6.532739204,4.52506896,0.06747627,0.782036954,0.117562689,2.039817629,4.587933687,0.562967934,4.52506896,-33.22850591,-33.22850591,1.190790011,51.24457803,22.56611735,17.64753768,17.64753768,90.77619331,1.190790011,0.088303371,10.43313845,-33.22850591
Standard & Poor's Ratings Services,Vector Ltd.,BBB,Stable,10/13/2015,vector,VGR,Consumer Non-Durables,Farming/Seeds/Milling,10,0,2015,2015,12/31/2015,2.698846929,2.063104507,1.111312485,5.261586281,28.45595358,33.71753986,6.459458047,-1.197871766,0.330359034,0.120637438,0.064992273,0.035721764,0.382832738,0.045163249,-0.287303382,0.098408902,0.549630936,1,0.064992273,1.157197068,-7.361441807,1.302920309,1.29899974,0.892402913,0.161398754,-6.361441807,69.37071455,56.50628851,12.82684128,21.91132061,1.264306248,1.226888077,1.133673489,3.586464593,3.178333727,0.087182755,0.924023561,0.161398754,16.19901334,13.16197504,0.725558435,3.178333727,-11.5104672,-11.5104672,1.431149848,40.06380681,17.76525622,16.4155153,16.4155153,81.19672049,1.431149848,0.079331795,13.4168709,-11.5104672
Standard & Poor's Ratings Services,Vector Group Ltd.,B,Stable,1/30/2013,vector,VGR,Consumer Non-Durables,Farming/Seeds/Milling,1,1,2013,2012,12/31/2012,3.274540247,2.495841852,2.079612009,3.785136822,44.49935151,48.28448833,2.70341805,1.081718772,0.240740365,0.142855167,0.049529481,0.028234856,0.429938381,0.028178086,-0.386387725,0.060249761,0.570061619,1,0.049529481,1.072926971,-14.71234795,1.156101904,1.145557531,0.487883962,0.134812834,-13.71234795,96.4298035,135.0142646,8.202366722,18.97618673,0.997989383,0.993776188,0.860640009,5.623736026,4.477630462,0.077531059,0.866030017,0.134812834,2.286312469,7.464358633,0.566697444,4.477630462,-12.30989032,-12.30989032,0.899531627,31.85890627,13.39700674,11.60220997,11.60220997,46.39300072,0.899531627,0.140545643,7.209406902,-12.30989032
Standard & Poor's Ratings Services,Vector Ltd.,BBB,Stable,10/25/2016,vector,VGR,Consumer Non-Durables,Farming/Seeds/Milling,10,0,2016,2016,12/31/2016,3.596585232,2.902063748,2.006291168,4.058292119,29.88070286,33.93899498,3.516805122,0.541486997,0.351048435,0.137790673,0.074768074,0.042063362,0.388858569,0.050658994,-0.214237952,0.104669559,0.562584534,1,0.074768074,1.236461342,-5.229021084,1.414511395,1.395026004,0.884230183,0.083275122,-4.229021084,89.93931174,103.787383,12.21524145,21.01915523,1.204349607,0.787185311,0.571990473,4.437838217,2.797067218,0.057740358,0.726627473,0.083275122,2.471296953,3.658012064,0.432710802,2.797067218,-7.550248178,-7.550248178,1.48241159,35.24234672,35.33275629,25.67375143,25.67375143,75.22883067,1.48241159,0.079366656,12.8667562,-7.550248178
Standard & Poor's Ratings Services,Vector Ltd.,BBB,Stable,11/13/2011,vector,VGR,Consumer Non-Durables,Farming/Seeds/Milling,11,0,2011,2011,12/31/2011,1.617208866,1.085914251,0.764354469,8.008951102,44.6511133,52.66006441,3.896568755,4.112382347,0.212194498,0.126454499,0.108663467,0.066191392,0.390858822,0.080860732,-0.842637313,0.201049676,0.609141178,1,0.108663467,1.09596149,-11.42084691,1.220193606,1.195597249,1.222936071,0.06622749,-10.42084691,45.5740078,93.67215695,8.174488226,20.03996039,1.22162006,0.458103789,0.30763536,4.034468125,1.670207945,0.031799573,0.671540745,0.06622749,0.708854535,3.044517655,0.262810183,1.670207945,-11.2139392,-11.2139392,0.880884616,13.30814458,41.25013455,27.7011461,27.7011461,18.01926006,0.880884616,0.12550269,8.456252317,-11.2139392
Standard & Poor's Ratings Services,Vector Group Ltd.,B,Stable,11/30/2010,vector,VGR,Consumer Non-Durables,Farming/Seeds/Milling,11,0,2010,2010,12/31/2010,2.321851088,1.676839804,1.321560175,0.634714551,46.24725774,46.88197229,3.898747613,-3.264033062,0.20519633,0.104687437,0.08047671,0.050864817,-0.367956059,0.056954807,-1.169788467,0.118399442,0.632043941,1,0.08047671,1.048688125,-21.53888913,10.04597926,1.818938642,,0.806514753,-20.53888913,575.0616549,93.61980724,7.892359846,19.18878582,1.119728937,,,,1.920531026,0.077891335,1,0.806514753,1.613029506,,,,,,,,0,,,,,,-1.770997098,
Standard & Poor's Ratings Services,Concho Resources Inc.,BB,Stable,1/25/2012,concho resources,CXO,Energy,Oil & Gas Production,1,1,2012,2011,12/31/2011,0.585939382,7.107806813,0.000487543,1045.497929,,,,,1,0.499311194,0.429002964,0.315027239,0.382942752,0.080024953,0.183892988,0.121411675,0.734324155,1,0.429002964,0.564828684,1.297945577,0.411023577,0.427173788,6.306615411,0.539609245,2.297945577,0.349115947,0,0,0.276619135,0.254025505,11.69278911,11.69278911,0.019886724,0,0.689356752,1,0.539609245,8.40627672,31.85726807,,,3.636937041,3.636937041,6.230440049,19.77746454,9.038048919,9.038048919,9.038048919,0.887485604,6.230440049,,10.07063503,3.636937041
Standard & Poor's Ratings Services,Concho Resources Inc.,BB,Stable,5/13/2016,concho resources,CXO,Energy,Oil & Gas Production,5,1,2016,2015,12/31/2015,2.204067603,1.819221354,0.383203112,41.27904997,,,,,1,0.211249004,0.053932389,0.036538582,0.322511334,0.005212834,0.009492188,0.008075327,0.677488666,1,0.053932389,0.450829054,0.820926631,0.324308773,0.336253922,0.451616647,0.255183393,1.820926631,8.842257761,0,0,0.164305521,0.142666563,7.483823358,7.483823358,7.346597068,0,0.497626101,1,0.255183393,4.853739657,13.25728593,,,1.643280745,1.643280745,6.325532917,173.1192774,12.71141707,12.71141707,12.71141707,9.082022074,6.325532917,,9.161323617,1.643280745
Standard & Poor's Ratings Services,Concho Resources Inc.,BB,Stable,5/15/2015,concho resources,CXO,Energy,Oil & Gas Production,5,1,2015,2014,12/31/2014,0.832680654,0.519181358,1.47E-05,34.38494188,,,,,1,0.409655933,0.321771692,0.202310248,0.371261508,0.045608194,0.101911874,0.082519905,0.628738492,1,0.321771692,0.55247419,1.234507994,0.399781408,0.41281622,3.950687941,0.450836173,2.234507994,10.61511173,0,0,0.260645047,0.225436893,15.37785271,15.37785271,4.505273603,0,0.629208461,1,0.450836173,8.569986892,48.77001748,,,2.284764584,2.284764584,4.535597995,22.41902244,7.208418634,7.208418634,7.208418634,1.067443604,4.535597995,,7.624101842,2.284764584
Standard & Poor's Ratings Services,Concho Resources Inc.,BB,Positive,8/19/2016,concho resources,CXO,Energy,Oil & Gas Production,8,0,2016,2016,12/31/2016,0.725576418,0.367723245,0.070714272,49.14744328,,,,,1,-1.265724274,-1.430307745,-0.89446895,0.374631821,-0.120670572,-0.191854244,-0.205745838,0.625368179,1,-1.430307745,0.371029957,0.58990084,0.264451202,0.275054036,-11.49056103,0.478691631,1.58990084,7.426632508,0,0,0.144658057,0.134907502,10.27381544,10.27381544,0.421594746,0,0.846763401,1,0.478691631,9.134050274,22.82496084,,,2.45337165,2.45337165,11.43818725,-12.78768508,13.50812663,13.50812663,13.50812663,-0.753807744,11.43818725,,-23.87422792,2.45337165
Standard & Poor's Ratings Services,Concho Resources Inc.,BB,Stable,9/14/2012,concho resources,CXO,Energy,Oil & Gas Production,9,0,2012,2012,12/31/2012,0.620038752,0.320064155,0.00389144,39.72347998,,,,,1,0.467390074,0.362273837,0.237216001,0.380785747,0.050258125,0.124542582,0.083990511,0.654797496,1,0.362273837,0.596458301,1.478058656,0.472203717,0.4847827,3.608390575,0.37942653,2.478058656,9.188520245,0,0,0.22766389,0.211866505,11.99222793,11.99222793,0.376218626,0,0.680002462,1,0.37942653,7.717837096,21.86820527,,,2.723692803,2.723692803,5.187812106,21.86957069,7.629107831,7.629107831,7.629107831,0.987192038,5.187812106,,8.907551566,2.723692803
Standard & Poor's Ratings Services,Concho Resources Inc.,BB,Stable,3/15/2011,concho resources,CXO,Energy,Oil & Gas Production,3,1,2011,2010,12/31/2010,0.652150244,0.000757413,0.000757413,0,,,,,1,0.386651532,0.31430243,0.210132679,-0.401229378,0.038068404,0.085730202,0.062878265,0.668568419,1,0.31430243,1,2.252004091,0.41173701,,,,2.252004091,,,0,34.67664991,0.181163656,,,,0,0.669954842,0.989356673,,,93.9555876,,,,,,,0,,,,,,2.665189855,
Standard & Poor's Ratings Services,Concho Resources Inc.,BB,Stable,6/26/2014,concho resources,CXO,Energy,Oil & Gas Production,6,1,2014,2013,12/31/2013,0.688197942,0.296486309,2.77E-05,,,,,,,,,,0.331048637,0.026170233,0.066792551,0.040428688,0.702776634,1,,0.608186347,1.552233679,0.49136968,0.501926582,1.633989231,0.359654726,2.552233679,0,0,0,0,0,13.12866286,13.12866286,0.005889497,0,,1,0.359654726,8.697445722,47.49354906,,,2.675350581,2.675350581,,40.054625,7.381559037,7.381559037,7.381559037,1.817772098,,,9.95711005,2.675350581
Standard & Poor's Ratings Services,Vale S.A.,A,Negative,10/23/2014,vale,VALE,Basic Industries,Precious Metals,10,0,2014,2014,12/31/2014,2.992454728,1.860412475,0.999496982,31.84354938,65.54680019,97.39034957,0,31.84354938,0.332321053,0.19121447,0.041370308,0.009403554,0,0.003030329,0.006403977,0.013802849,0.227301996,1,0.041370308,0.516512289,1.091542397,0.331935523,,,,2.113294148,11.46229008,,5.568540324,0.480517652,0.322253603,2.689854265,0.208769824,0.865743678,-1.609065156,0.341165188,0.077613805,,,1.084144586,1.138906181,-1.609065156,0.607224124,0.607224124,0.891643575,94.81985314,33.67344885,2.613524491,2.613524491,65.46673533,0.891643575,-0.016969707,4.961225201,0.607224124
Standard & Poor's Ratings Services,Vale S.A.,BBB,Negative,8/7/2015,vale,VALE,Basic Industries,Precious Metals,8,0,2015,2015,12/31/2015,1.090966599,0.644610324,0.454326923,21.03713538,62.77580071,83.81293609,0,21.03713538,0.198992542,-0.239408021,-0.691944238,-0.492795502,0,-0.142611762,-0.375718241,-0.219883854,0.712189616,1,-0.691944238,0.5965285,1.571585936,0.439585558,,,,2.634552979,17.350271,,5.814342404,0.473346642,0.289393391,0.820436855,0.792668785,0.661135822,0.025198098,0.175368035,0.966154531,,,29.54605263,-27.05421687,0.025198098,0.399270206,0.399270206,0.523686476,-1.062685179,3.090824373,2.986213974,2.986213974,-0.843539191,0.523686476,-0.023711725,-17.20603566,0.399270206
Standard & Poor's Ratings Services,Vale S.A.,A,Stable,9/10/2013,vale,VALE,Basic Industries,Precious Metals,9,0,2013,2013,12/31/2013,3.349988945,2.437983639,1.176431572,44.50991083,62.10043308,106.6103439,0,44.50991083,0.481578891,0.322086086,0.154831398,0.008681335,0,0.003258505,0.00641137,0.060304479,0.056069604,1,0.154831398,0.478831754,0.942139755,0.304082642,,,,1.967579945,8.200420831,,5.877575758,0.57266883,0.375346116,,,,-2.054187192,0.310945752,0.098817219,,,1.109652804,1.185070491,,,,,,0,,,,,,1.163222818,
Standard & Poor's Ratings Services,Vale S.A.,BBB,Stable,11/3/2010,vale,VALE,Basic Industries,Precious Metals,11,0,2010,2010,12/31/2010,35.42746114,24.29274611,19.64766839,0,83.38311895,83.38311895,0,0,0.584615724,0.478992339,0.448501976,0.385335482,0,0.135148948,0.25331282,0.157774964,0.85916117,1,0.448501976,0.300343041,0.562939956,0.23860095,,,,1.874323285,,,4.37738483,0.545068355,0.350730608,,,,-0.066521515,0.434261365,0.357008491,,,1.555230489,1.712432527,,,,,,0,,,,,,0.561290323,
Standard & Poor's Ratings Services,Vale S.A.,A,Stable,11/23/2011,vale,VALE,Basic Industries,Precious Metals,11,0,2011,2011,12/31/2011,83.12807882,57.26108374,17.39408867,0,81.30551903,81.30551903,0,0,0.600389897,0.5104594,0.454297339,0.383997288,0,0.175967932,0.291475262,0.208511963,0.84525542,1,0.454297339,0.377648996,0.625542045,0.217000997,,,,1.656411246,,,4.489240145,0.663591878,0.458253061,,,,-0.045823768,0.415256823,0.343770411,,,1.523856921,1.629048347,,,,,,0,,,,,,0.525997546,
Standard & Poor's Ratings Services,Vale S.A.,A,Stable,11/26/2012,vale,VALE,Basic Industries,Precious Metals,11,0,2012,2012,12/31/2012,31.26404494,17.07303371,16.38202247,0,69.34601933,69.34601933,0,0,0.442466558,0.193378622,0.113683063,0.110160607,0,0.039961058,0.070769521,0.041350803,0.969015124,1,0.113683063,0.419195607,0.742379548,0.265231591,,,,1.770962137,,,5.263460016,0.525588469,0.362752704,,,,-0.087552341,0.347947331,0.049291955,,,1.051847626,1.083436704,,,,,,0,,,,,,1.539540348,
